domain,host,class,type,usage,selector,matching_type,certificate
acceptatie-meteor.asolutions.nl,_443._tcp.acceptatie-meteor.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-meteor.asolutions.nl,_443._tcp.acceptatie-meteor.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
acceptatie-plannert.asolutions.nl,_443._tcp.acceptatie-plannert.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-plannert.asolutions.nl,_443._tcp.acceptatie-plannert.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
acceptatie-rh.expoints.nl,_443._tcp.acceptatie-rh.expoints.nl,IN,TLSA,2,1,1,0d9d82348708a998f76ab3a0e1da98da793144f253472a4b71330dfc56c664b3
acceptatie-sostoegang.asolutions.nl,_443._tcp.acceptatie-sostoegang.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-sostoegang.asolutions.nl,_443._tcp.acceptatie-sostoegang.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
acceptatie-tropaz-atalmedial.asolutions.nl,_443._tcp.acceptatie-tropaz-atalmedial.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-tropaz-atalmedial.asolutions.nl,_443._tcp.acceptatie-tropaz-atalmedial.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
acceptatie-tropaz-elkerliek.asolutions.nl,_443._tcp.acceptatie-tropaz-elkerliek.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-tropaz-elkerliek.asolutions.nl,_443._tcp.acceptatie-tropaz-elkerliek.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
