domain,host,class,type,usage,selector,matching_type,certificate
acc.subsidie.cultureelerfgoed.nl,_443._tcp.acc.subsidie.cultureelerfgoed.nl,IN,TLSA,1,1,1,a6c53683686f851d49951ed013c891159ea3cdf7af4d43b6f50d4ea69470b5f0
acceptatie-api-sostoegang.asolutions.nl,_443._tcp.acceptatie-api-sostoegang.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-api-sostoegang.asolutions.nl,_443._tcp.acceptatie-api-sostoegang.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
acceptatie-bonstat.asolutions.nl,_443._tcp.acceptatie-bonstat.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-bonstat.asolutions.nl,_443._tcp.acceptatie-bonstat.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
acceptatie-ketenhub.asolutions.nl,_443._tcp.acceptatie-ketenhub.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-ketenhub.asolutions.nl,_443._tcp.acceptatie-ketenhub.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
acceptatie-meteor.asolutions.nl,_443._tcp.acceptatie-meteor.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-meteor.asolutions.nl,_443._tcp.acceptatie-meteor.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
acceptatie-plannert.asolutions.nl,_443._tcp.acceptatie-plannert.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-plannert.asolutions.nl,_443._tcp.acceptatie-plannert.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
acceptatie-rh.expoints.nl,_443._tcp.acceptatie-rh.expoints.nl,IN,TLSA,2,1,1,0d9d82348708a998f76ab3a0e1da98da793144f253472a4b71330dfc56c664b3
acceptatie-sostoegang.asolutions.nl,_443._tcp.acceptatie-sostoegang.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-sostoegang.asolutions.nl,_443._tcp.acceptatie-sostoegang.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
acceptatie-tropaz-atalmedial.asolutions.nl,_443._tcp.acceptatie-tropaz-atalmedial.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-tropaz-atalmedial.asolutions.nl,_443._tcp.acceptatie-tropaz-atalmedial.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
acceptatie-tropaz-elkerliek.asolutions.nl,_443._tcp.acceptatie-tropaz-elkerliek.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-tropaz-elkerliek.asolutions.nl,_443._tcp.acceptatie-tropaz-elkerliek.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
acceptatie-tropaz-labwest.asolutions.nl,_443._tcp.acceptatie-tropaz-labwest.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-tropaz-labwest.asolutions.nl,_443._tcp.acceptatie-tropaz-labwest.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
acceptatie-tropaz-saltro.asolutions.nl,_443._tcp.acceptatie-tropaz-saltro.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-tropaz-saltro.asolutions.nl,_443._tcp.acceptatie-tropaz-saltro.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
acceptatie-tropaz-tzd.asolutions.nl,_443._tcp.acceptatie-tropaz-tzd.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
acceptatie-tropaz.asolutions.nl,_443._tcp.acceptatie-tropaz.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-tropaz.asolutions.nl,_443._tcp.acceptatie-tropaz.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
acceptatie-www.hhnk.nl,_443._tcp.acceptatie-www.hhnk.nl,IN,TLSA,2,1,1,1e286657d44734e4cab706cfe0498dff2152833c5b85787f1c63c86f42fb0e17
acceptatie.nunspeet.nl,_443._tcp.acceptatie.nunspeet.nl,IN,TLSA,2,1,1,ad6d469e926687693d17ab8d2061439b6ecc98bd23e0ed42c326f2c859fe4d7b
acceptatietest.aangetekendmailen.nl,_443._tcp.acceptatietest.aangetekendmailen.nl,IN,TLSA,0,1,1,c784333d20bcd742b9fdc3236f4e509b8937070e73067e254dd3bf9c45bf4dde
accordimento.de,_443._tcp.accordimento.de,IN,TLSA,2,1,1,276fe8a8c4ec7611565bf9fce6dcace9be320c1b5bea27596b2204071ed04f10
accordimento.de,_443._tcp.accordimento.de,IN,TLSA,2,1,1,bd936e72b212ef6f773102c6b77d38f94297322efc25396bc3279422e0c89270
accordimento.de,_443._tcp.accordimento.de,IN,TLSA,3,0,1,0b50d12204ad0f97012c07951f5793bd4b1b95d0a76c411a18069673f7399990
accrescent.app,_443._tcp.accrescent.app,IN,TLSA,3,1,1,da2d93742965a9532b38dd7e70512927e6b96c0f9d5f55aacb3545ddddf509ad
achill.org,_443._tcp.achill.org,IN,TLSA,1,0,2,31e093368a3ed594460bc58131228af0813b00184b63ac6780e90f36716a27ab52423f80008eda9450ad7e5343089b4080b2ebc2cfccca5887cb8dbfab886e9f
achill.org,_443._tcp.achill.org,IN,TLSA,1,0,2,e1108637633b2dfbc3ea97c13b7410db86517d88c19fa27e135ffde6ff4c2db2f53593911e3c1518dcde127d24efa0eeae14d70b93d7e39b0789e5d348e97eb1
achilleshiel.eu,_dane.achilleshiel.eu,IN,TLSA,2,1,1,276fe8a8c4ec7611565bf9fce6dcace9be320c1b5bea27596b2204071ed04f10
achilleshiel.eu,_dane.achilleshiel.eu,IN,TLSA,2,1,1,60b87575447dcba2a36b7d11ac09fb24a9db406fee12d2cc90180517616e8a18
achilleshiel.eu,_dane.achilleshiel.eu,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
achilleshiel.eu,_dane.achilleshiel.eu,IN,TLSA,2,1,1,b111dd8a1c2091a89bd4fd60c57f0716cce50feeff8137cdbee0326e02cf362b
achilleshiel.eu,_dane.achilleshiel.eu,IN,TLSA,2,1,1,bd936e72b212ef6f773102c6b77d38f94297322efc25396bc3279422e0c89270
achilleshiel.eu,_dane.achilleshiel.eu,IN,TLSA,2,1,1,e5545e211347241891c554a03934cde9b749664a59d26d615fe58f77990f2d03
achterdiep.nl,_443._tcp.achterdiep.nl,IN,TLSA,3,1,1,e2990726f572336c4d3ade523cced6fe13c7937586cc3d863b758e43481b9605
aclegal.aangetekendmailen.nl,_443._tcp.aclegal.aangetekendmailen.nl,IN,TLSA,0,1,1,c784333d20bcd742b9fdc3236f4e509b8937070e73067e254dd3bf9c45bf4dde
acreacom.nl,_443._tcp.acreacom.nl,IN,TLSA,3,0,1,9d02183263e84da423396668eac4a5e9dbd5f3c9adb3534ae85e5a50e4c47316
actingcxo.com,_443._tcp.actingcxo.com,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
actingcxo.com,_443._tcp.actingcxo.com,IN,TLSA,3,1,1,8528e73e1c2eaf6dd4eab195900a387b2d31cefaf899f2086f804a0ed0fbeb2c
actingcxo.net,_443._tcp.actingcxo.net,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
actingcxo.net,_443._tcp.actingcxo.net,IN,TLSA,3,1,1,8528e73e1c2eaf6dd4eab195900a387b2d31cefaf899f2086f804a0ed0fbeb2c
actingcxo.org,_443._tcp.actingcxo.org,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
actingcxo.org,_443._tcp.actingcxo.org,IN,TLSA,3,1,1,8528e73e1c2eaf6dd4eab195900a387b2d31cefaf899f2086f804a0ed0fbeb2c
activesync.hetcak.nl,_443._tcp.activesync.hetcak.nl,IN,TLSA,3,0,1,bc2e2db82f15b970fd22b769ee8af9bf1f76b78d2b356daeeeec5ba1ec9e4776
acvan.net,_443._tcp.acvan.net,IN,TLSA,3,0,1,704dce6e94d7cd440ba556ea4ff834f250e296131beea37e94bcae62fc4d0e00
acwebdesign.nl,_443._tcp.acwebdesign.nl,IN,TLSA,3,0,1,142804e5ac6c05960a1b231797869c003522d6cb8c24672fc252b4f9f1e1bdd1
ad-meo.nl,_443._tcp.ad-meo.nl,IN,TLSA,3,1,1,b7b6af9ec9a1444db47c9114534fc0bf78ac1f3b28f06a91d0a40407cbc8f51c
adagia.eu,_443._tcp.adagia.eu,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
adagia.eu,_443._tcp.adagia.eu,IN,TLSA,3,1,1,6a2a162b7a7d2a01fa7174a8466c14581663d654f0079be91e210bf2270f4ad9
addy.io,_443._tcp.addy.io,IN,TLSA,3,1,1,ea5084550183245140e3f0e44093fe237f2fec9754882a5f8813b46d501a61cd
addy.io,_443._tcp.addy.io,IN,TLSA,3,1,1,fb851a82532372eaef69689a17bbc4677d6e3a41f4b83458bac6fd8d34262880
adguard.bitzerservices.de,_443._tcp.adguard.bitzerservices.de,IN,TLSA,2,1,1,0b9fa5a59eed715c26c1020c711b4f6ec42d58b0015e14337a39dad301c5afc3
adguard.bitzerservices.de,_443._tcp.adguard.bitzerservices.de,IN,TLSA,3,1,1,8d85e048f48c9428f5c604a504643f106d73d486f92496d7be278d42467df1b7
